id,company,code,indicatorlistS,timeS,useS,timeuseS,keepS,remarkS
2281,1000,100106,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
2282,1000,100107,แก้แพ้ ลดน้ำมูก ผื่นคัน,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,NULL
2283,1000,100108,แก้แพ้ ลดน้ำมูก ผื่นคัน,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,NULL
2284,1000,100109,บรรเทาอาการหวัด คัดจมูก,ทุก 6 ชั่วโมง,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
2285,1000,100110,บรรเทาอาการหวัด ลดไข้,ทุก 6 ชั่วโมง,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
2286,1000,100111,บรรเทาอาการหวัด ลดไข้,ทุก 6 ชั่วโมง,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
2287,1000,100112,บรรเทาอาการหวัด ลดไข้,ทุก 6 ชั่วโมง,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
2288,1000,100113,บรรเทาอาการไอ ระคายเคืองคอ,ทุกครั้งที่มีอาการ,รับประทานครั้งละ 1 เม็ด,NULL,NULL,NULL
2289,1000,100114,แก้ไอ ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,NULL,NULL
2290,1000,100115,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
2291,1000,100116,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
2292,1000,100117,ลดน้ำมูก แพ้อากาศ,เช้า-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,NULL,NULL
2293,1000,100118,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,NULL
2294,1000,100119,แก้แพ้ ลดน้ำมูก ผื่นคัน,เช้า-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,NULL,NULL
2295,1000,100120,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
2296,1000,100121,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
2297,1000,100122,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
2298,1000,100123,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
2299,1000,100124,เจริญอาหาร,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,ก่อนนอน
2300,1000,100125,เจริญอาหาร,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ 1 เม็ด,ก่อนอาหาร,NULL,ยานี้ทำให้ง่วงนอน
2301,1000,100126,แก้แพ้ผื่นคัน,ก่อนนอน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,ยานี้ทำให้ง่วงนอน
2302,1000,100127,แก้แพ้ผื่นคัน,ก่อนนอน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,ยานี้ทำให้ง่วงนอน
2303,1000,100129,ลดน้ำมูก แพ้อากาศ,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,ยานี้ทำให้ง่วงนอน
2304,1000,100130,ลดน้ำมูก แพ้อากาศ,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,ยานี้ทำให้ง่วงนอน
