id,company,code,indicatorlistS,timeS,useS,timeuseS,keepS,remarkS
3414,1,100109,บรรเทาอาการหวัด คัดจมูก,ทุก 6 ชั่วโมง,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
3415,1,100110,บรรเทาอาการหวัด ลดไข้,ทุก 6 ชั่วโมง,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
3416,1,100111,บรรเทาอาการหวัด ลดไข้,ทุก 6 ชั่วโมง,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
3417,1,100112,บรรเทาอาการหวัด ลดไข้,ทุก 6 ชั่วโมง,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
3418,1,100113,บรรเทาอาการไอ ระคายเคืองคอ,ทุกครั้งที่มีอาการ,รับประทานครั้งละ 1 เม็ด,NULL,NULL,NULL
3419,1,100114,แก้ไอ ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,NULL,NULL
3420,1,100115,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
3421,1,100116,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
3422,1,100117,ลดน้ำมูก แพ้อากาศ,เช้า-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,NULL,NULL
3423,1,100118,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,NULL
3424,1,100119,แก้แพ้ ลดน้ำมูก ผื่นคัน,เช้า-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,NULL,NULL
3425,1,100120,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,NULL,NULL,เมื่อมีอาการ
